# t (s)	mx ()	my ()	mz ()
8.333495747952307e-10	-0.0021640176	-0.0003282078	0.71130586
8.571571100536529e-10	0.000658008	0.0021508993	0.7114867
8.809702356652964e-10	0.0016876252	-0.0015213817	0.71168077
9.047731842815354e-10	-0.0021288742	-0.0008924305	0.711737
9.285782795073529e-10	0.000116242954	0.0023394483	0.7116117
9.5238457669451e-10	0.0020542496	-0.0011100486	0.7114024
9.76205229362244e-10	-0.0018899757	-0.0013977492	0.7112723
1.0000049773072307e-09	-0.00045276323	0.0023050192	0.7113226
1.0238113874286197e-09	0.0022649628	-0.00057909725	0.7115143
1.0476291817425222e-09	-0.001468089	-0.0017998156	0.7116979
1.071431288203911e-09	-0.0009921177	0.0020904355	0.71173006
1.0952525943887917e-09	0.0022904098	1.6096423e-05	0.71158594
1.1190653395643915e-09	-0.0009348895	-0.0020621247	0.7113776
1.1428779854459193e-09	-0.0014802585	0.0017049195	0.7112675
1.1666759878251268e-09	0.0021361057	0.0006279604	0.7113412
1.1904849766551176e-09	-0.0003076955	-0.0021945378	0.7115414
1.2142994019443146e-09	-0.0018617439	0.001177624	0.7117119
1.2381096144488157e-09	0.0018381848	0.001193185	0.7117199
1.2619196230991983e-09	0.00034165333	-0.002156028	0.71155894
1.285721508803028e-09	-0.0021033648	0.00058007776	0.7113546
1.3095387314964168e-09	0.0013951807	0.0016832137	0.71126604
1.333340193486467e-09	0.00096304336	-0.0019571956	0.7113623
1.3571456237933173e-09	-0.0022008151	-7.101022e-05	0.7115682
1.3809727198476966e-09	0.00085044344	0.0020320937	0.7117235
1.4047640276602694e-09	0.0015036148	-0.0016271825	0.7117071
1.4285818338588645e-09	-0.0021172974	-0.0007000979	0.7115318
1.452396017407976e-09	0.00026048376	0.0022236477	0.71133405
1.4761932390237505e-09	0.0019293397	-0.0011612399	0.71126825
1.5000112214388783e-09	-0.0018707151	-0.0012674049	0.71138567
1.523813040578502e-09	-0.00036550884	0.0022459975	0.71159446
1.5476295040399758e-09	0.0021866718	-0.00061071286	0.7117323
1.571433545190557e-09	-0.0014867802	-0.001733344	0.7116916
1.595254199666032e-09	-0.0009441337	0.0020767488	0.7115041
1.6190541845671306e-09	0.0022770779	-2.21544e-05	0.71131593
1.6428635163817038e-09	-0.0009675913	-0.0020642471	0.7112736
1.6666691437017349e-09	-0.0014554592	0.0017431811	0.71141016
1.6904811460104143e-09	0.0021891135	0.0005921376	0.71161926
1.714305656597395e-09	-0.00037931665	-0.00222171	0.71173775
1.7381122577933543e-09	-0.0018551521	0.001280767	0.7116734
1.761921094235949e-09	0.0019206961	0.0011457031	0.7114762
1.7857182921458252e-09	0.00024048975	-0.0022196926	0.7113
1.8095258726469216e-09	-0.0021172038	0.0006943617	0.7112818
1.8333534803441643e-09	0.0015090755	0.0016225906	0.7114362
